Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/moderate,516,0,620.0,591.2640680232903,2.078280000205268,1514.1750299990235,174.31782945736435,7.869881936109309,0.0,630,710,760,790,890,970,1000,1100,1500,1500,1500
,Aggregated,516,0,620.0,591.2640680232903,2.078280000205268,1514.1750299990235,174.31782945736435,7.869881936109309,0.0,630,710,760,790,890,970,1000,1100,1500,1500,1500
