Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/moderate,128,0,150.0,175.87114593753483,80.17631999973673,3292.0057800001814,174.5546875,1.9577577158184816,0.0,150,170,180,190,230,260,340,360,3300,3300,3300
,Aggregated,128,0,150.0,175.87114593753483,80.17631999973673,3292.0057800001814,174.5546875,1.9577577158184816,0.0,150,170,180,190,230,260,340,360,3300,3300,3300
