Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/moderate,410,0,240.0,254.28400309758615,2.2055399986129487,962.8479000002699,174.4,6.239137574908923,0.0,240,290,320,340,400,440,570,740,960,960,960
,Aggregated,410,0,240.0,254.28400309758615,2.2055399986129487,962.8479000002699,174.4,6.239137574908923,0.0,240,290,320,340,400,440,570,740,960,960,960
