Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/moderate,592,0,1400.0,1183.7757365878124,1.7936100011866074,2187.469169999531,174.34459459459458,9.01507866930863,0.0,1400,1500,1600,1600,1700,1800,1900,2000,2200,2200,2200
,Aggregated,592,0,1400.0,1183.7757365878124,1.7936100011866074,2187.469169999531,174.34459459459458,9.01507866930863,0.0,1400,1500,1600,1600,1700,1800,1900,2000,2200,2200,2200
